-0.827	-1.106	-1.466	-1.267	-0.908	-0.592	-0.455	-0.223
0.078	-0.066	-0.0505	0.0615	-0.0785	-0.2395	-0.572	-0.3885
-0.134	-0.137	0.047	0.216	-0.137	0.19	0.323	0.139
-0.268	-0.327	-0.351	-0.399	-0.3	-0.162	-0.256	-0.414
-0.0955	-0.389	0.0285	-0.13	-0.026	-0.237	-0.5565	-0.3105
-1.497	-2.268	-2.529	-2.671	-2.001	-1.51	-1.19	-0.891
0.174	0.3505	0.143	0.127	0.1905	0.373	0.186	0.4255
0.16	-0.027	-0.287	-0.448	-0.531	-0.349	-0.348	-0.151
-0.25	-0.293	-0.275	-0.504	-0.228	-0.575	-0.583	-0.303
-0.0835	-0.6205	-0.1745	-0.2575	-0.275	-0.6735	-0.7095	-0.7275
-0.894	-1.581	-1.406	-0.898	-0.739	-0.577	-0.174	-0.076
-0.044	0.016	0.208	0.148	0.527	0.166	0.191	-0.222
0.512	0.966	1.802	1.761	1.957	1.513	1.174	0.638
0.037	0.424	0.411	0.403	0.657	0.293	0.258	0.485
0.4	0.832	1.215	1.13	1.243	0.815	0.54	0.338
-0.3075	-0.1695	-0.075	-0.175	0.0685	-0.0855	-0.3445	-0.393
-0.106	0.335	0.025	-0.0135	-0.014	-0.045	0.148	-0.344
-0.053	-0.52	-0.97	-1.278	-0.783	-0.492	-0.068	-0.027
0.452	0.264	-0.427	-1.169	-1.02	-0.838	-0.547	-0.377
0.2	0.075	0.124	-0.054	-0.295	0.058	0.066	-0.005
0.168	-0.036	-0.937	-1.671	-1.539	-1.135	-0.76	-0.505
-0.2895	-0.147	-0.0205	-0.2975	0.088	-0.085	-0.461	-0.077
-0.182	-0.175	-0.298	-0.238	-0.109	-0.117	-0.196	-0.242
0.053	0.268	0.505	0.415	0.611	0.22	0.218	-0.02
-0.129	0.27	0.382	0.434	0.39	0.449	0.336	0.209
-0.03	-0.214	-0.241	0.006	0.344	0.623	0.289	0.681
-0.366	-0.227	0.092	0.066	-0.071	-0.225	-0.513	-0.248
-0.254	-0.43	-0.621	-0.586	-0.191	-0.154	-0.553	-0.075
-0.12	0.269	0.378	0.378	0.494	0.342	-0.079	-0.05
-0.19	0.341	0.786	1.417	1.958	1.942	1.807	0.983
