,click_0.50,click_0.51,click_0.52,click_0.53,click_0.54,click_0.55,click_0.56,click_0.57,click_0.58,click_0.59,click_0.5,click_0.60,click_0.61,click_0.62,click_0.63,click_0.64,click_0.65,click_0.66,click_0.67,click_0.68,click_0.69,click_0.70,click_0.71,click_0.72,click_0.73,click_0.74,click_0.75,click_0.76,click_0.77,click_0.78,click_0.79,click_0.80,click_0.81,click_0.82,click_0.83,click_0.84,click_0.85,click_0.86,click_0.87,click_0.88,click_0.89,click_0.90,click_0.91,click_0.92,click_0.93,click_0.94,click_0.95,click_0.96,click_0.97,click_0.98,click_0.99,click_1.00,click_1.0
YBL065W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,6,6,6,6,10,10,11,8,7,9,4,4,3,2,3,3,3
YBL067C,3,3,3,3,3,5,3,3,5,5,3,3,5,6,6,5,6,6,5,6,6,6,7,6,7,7,7,7,7,14,14,11,7,9,13,12,13,6,6,6,10,12,11,11,7,10,0,0,0,0,7,3,3
YBL068W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,8,7,8,8,8,5,1,2,2
YBL069W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,7,1,2,2
YBL070C,2,2,2,2,2,2,2,2,6,6,2,2,6,7,7,11,0,0,0,10,11,8,10,13,10,14,15,14,0,0,16,0,0,0,0,9,8,8,8,7,0,6,6,6,13,16,11,12,11,7,15,7,7
YBL072C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,3,3
YBL075C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,17,11,8,14,11,10,11,10,2,2,2,2,15,2,2,3,10,7,1,13,1,1
YBL076C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,8,8,8,5,1,2,2
YBL078C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,1,2,1,1
YBL079W,2,5,3,3,3,5,3,3,5,5,2,2,2,8,2,6,7,8,2,2,12,11,12,11,12,11,11,11,13,12,12,12,0,9,13,12,13,12,0,0,0,0,0,0,0,0,0,0,0,0,12,5,5
